time,temperature
07-14 00:00,25.9
01:00,25.5
02:00,25.2
03:00,25.2
04:00,24.8
05:00,24.7
06:00,24.9
07:00,25.5
08:00,26.5
09:00,27.5
10:00,28.7
11:00,29.7
12:00,30.5
13:00,30.9
14:00,31.5
15:00,31.1
16:00,30.7
17:00,29.3
18:00,27.8
19:00,26.4
20:00,26.0
21:00,25.9
22:00,25.7
23:00,25.4
07-15 00:00,25.2
01:00,24.8
02:00,24.8
03:00,24.6
04:00,24.3
05:00,24.2
06:00,24.2
07:00,24.4
08:00,24.4
09:00,24.5
10:00,24.3
11:00,25.4
12:00,27.3
13:00,28.3
14:00,28.4
15:00,27.6
16:00,28.3
17:00,28.2
18:00,27.5
19:00,26.2
20:00,25.0
21:00,24.1
22:00,23.7
23:00,23.4
07-16 00:00,22.9
01:00,22.6
02:00,22.3
03:00,22.0
04:00,22.1
05:00,21.8
06:00,21.8
07:00,22.1
08:00,22.8
09:00,24.1
10:00,25.4
11:00,26.3
12:00,28.0
13:00,29.8
14:00,30.8
15:00,30.7
16:00,30.2
17:00,28.4
18:00,27.1
19:00,26.0
20:00,25.6
21:00,25.3
22:00,25.2
23:00,25.1
07-17 00:00,25.1
01:00,25.0
02:00,24.8
03:00,24.7
04:00,24.5
05:00,24.2
06:00,24.0
07:00,24.0
08:00,24.2
09:00,24.6
10:00,25.4
11:00,26.0
12:00,25.7
13:00,26.7
14:00,28.2
15:00,29.6
16:00,31.0
17:00,30.4
18:00,30.2
19:00,29.6
20:00,28.7
21:00,27.6
22:00,26.7
23:00,26.2
07-18 00:00,25.8
01:00,25.4
02:00,25.1
03:00,24.8
04:00,24.6
05:00,24.4
06:00,24.3
07:00,24.1
08:00,23.9
09:00,23.8
10:00,23.6
11:00,23.5
12:00,23.4
13:00,23.3
14:00,23.2
15:00,23.1
16:00,22.9
17:00,22.7
18:00,22.5
19:00,22.3
20:00,22.1
21:00,22.0
22:00,21.9
23:00,22.0
07-19 00:00,22.0
01:00,21.9
02:00,21.8
03:00,21.7
04:00,21.8
05:00,22.0
06:00,22.2
07:00,22.4
08:00,22.7
09:00,23.2
10:00,24.2
11:00,25.5
12:00,26.5
13:00,27.0
14:00,27.1
15:00,27.0
16:00,26.8
17:00,26.4
18:00,26.1
19:00,25.7
20:00,25.4
21:00,25.1
22:00,24.8
23:00,24.5
07-20 00:00,24.3
01:00,24.2
02:00,24.2
03:00,24.2
04:00,24.1
05:00,24.0
06:00,24.1
07:00,24.6
08:00,24.8
09:00,25.2
10:00,25.7
11:00,26.5
12:00,27.4
13:00,28.2
14:00,28.8
15:00,29.0
16:00,28.7
17:00,28.0
18:00,27.0
19:00,26.0
20:00,25.1
21:00,24.4
22:00,24.0
23:00,23.6
